Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
17/08/2023;NOTA FISCAL N§ 1190 ;3152;0823-00000803;;719,52;719,52C
16/11/2023;NOTA FISCAL N§ 1445 ;3152;1123-00000503;;779,79;1.499,31C
09/01/2024;PAGAMENTO DUPLICATA N§ 1445 ;92;0124-00001041;389,9;;1.109,41C
19/01/2024;PAGAMENTO DUPLICATA N§ 1445 ;92;0124-00001042;389,89;;719,52C
14/05/2024;NOTA FISCAL N§ 1734 ;3152;0524-00001464;;407,8;1.127,32C
07/08/2024;PAGAMENTO DUPLICATA N§ 1734 ;92;0824-00001405;536,57;;590,75C
;;;;;;
Conta:;4998 - 2.1.1.01.001 - A.D DE SOUZA ME;;;;;
05/04/2023;NOTA FISCAL N§ 11379 ;3152;0423-00000768;;413;413,00C
18/12/2023;NOTA FISCAL N§ 18906 ;3152;1223-00000286;;790;1.203,00C
04/05/2024;PAGAMENTO DUPLICATA N§ 18906 ;92;0524-00000978;790;;413,00C
;;;;;;
Conta:;5747 - 2.1.1.01.001 - ALTHAIA - MATRIZ ATIBAIA;;;;;
20/03/2023;NOTA FISCAL N§ 147591 ;3152;0323-00000723;;861,55;861,55C
06/07/2023;NOTA FISCAL N§ 171253 ;3152;0723-00000730;;430,82;1.292,37C
21/07/2023;NOTA FISCAL N§ 173866 ;3152;0723-00000729;;502,62;1.794,99C
27/11/2023;NOTA FISCAL N§ 197706 ;3152;1123-00000438;;271,18;2.066,17C
20/01/2024;PAGAMENTO DUPLICATA N§ 197706 ;92;0124-00000620;271,18;;1.794,99C
;;;;;;
Conta:;6279 - 2.1.1.01.001 - AMBEV S.A;;;;;
02/01/2023;NOTA FISCAL N§ 249152 ;3152;0123-00000748;;254,18;254,18C
16/02/2023;NOTA FISCAL N§ 284792 ;3152;0223-00000696;;278,15;532,33C
06/03/2023;NOTA FISCAL N§ 303737 ;3152;0323-00000724;;136,34;668,67C
20/05/2023;NOTA FISCAL N§ 364386 ;3152;0523-00000758;;315,23;983,90C
05/01/2024;NOTA FISCAL N§ 576949 ;3152;0124-00001066;;174,01;1.157,91C
09/01/2024;PAGAMENTO DUPLICATA N§ 576949 ; ;0124-00001590;174,01;;983,90C
;;;;;;
Conta:;5757 - 2.1.1.01.001 - APOLLO MATERIAIS MEDICO HOSPITALARES LTDA ME;;;;;
18/01/2024;NOTA FISCAL N§ 41313 ;3152;0124-00001067;;448,72;448,72C
15/03/2024;PAGAMENTO DUPLICATA N§ 41313 ;92;0324-00000749;448,72;;0,00C
15/05/2024;PAGAMENTO DUPLICATA N§ 42756 ;92;0524-00001029;2.143,24;; 2.143,24D
18/09/2024;NOTA FISCAL N§ 45257 ;3152;0924-00001514;;347,64; 1.795,60D
18/09/2024;PAGAMENTO DUPLICATA N§ 45257 ;4578;0924-00001881;;4,2; 1.791,40D
16/11/2024;PAGAMENTO DUPLICATA N§ 45257 ;92;1124-00001251;351,84;; 2.143,24D
;;;;;;
Conta:;5763 - 2.1.1.01.001 - ARCOM S/A;;;;;
25/03/2024;NOTA FISCAL N§ 360622 ;3152;0324-00001157;;661,59;661,59C
25/03/2024;NOTA FISCAL N§ 360622 ;3152;0324-00001158;;388,82;1.050,41C
16/04/2024;NOTA FISCAL N§ 362221 ;3152;0424-00001374;;446,51;1.496,92C
16/04/2024;NOTA FISCAL N§ 362221 ;3152;0424-00001375;;462,3;1.959,22C
29/04/2024;PAGAMENTO DUPLICATA N§ 360622 ;92;0424-00000897;1.050,41;;908,81C
13/05/2024;NOTA FISCAL N§ 364440 ;3152;0524-00001465;;2.155,68;3.064,49C
13/05/2024;PAGAMENTO DUPLICATA N§ 364440 ;4578;0524-00001942;;3,6;3.068,09C
17/05/2024;PAGAMENTO DUPLICATA N§ 362221 ;92;0524-00001030;908,81;;2.159,28C
31/05/2024;NOTA FISCAL N§ 365833 ;3152;0524-00001466;;1.633,13;3.792,41C
12/06/2024;PAGAMENTO DUPLICATA N§ 364440 ;92;0624-00001142;718,56;;3.073,85C
12/07/2024;PAGAMENTO DUPLICATA N§ 364440 ;92;0724-00001181;718,56;;2.355,29C
29/07/2024;PAGAMENTO DUPLICATA N§ 365833 ;92;0724-00001182;1.633,13;;722,16C
12/08/2024;PAGAMENTO DUPLICATA N§ 364440 ;92;0824-00001155;722,16;;0,00C
16/08/2024;NOTA FISCAL N§ 372383 ;3152;0824-00001433;;1.041,18;1.041,18C
16/08/2024;NOTA FISCAL N§ 372384 ;3152;0824-00001434;;585,71;1.626,89C
16/08/2024;NOTA FISCAL N§ 372383 ;3152;0824-00001435;;856,98;2.483,87C
16/08/2024;PAGAMENTO DUPLICATA N§ 372383 ;4578;0824-00001836;;38;2.521,87C
19/09/2024;PAGAMENTO DUPLICATA N§ 372384 ;92;0924-00001253;585,71;;1.936,16C
14/10/2024;PAGAMENTO DUPLICATA N§ 372383 ;92;1024-00001207;1.936,16;;0,00C
;;;;;;
