DROGARIA DE JESUS LTDA;;;;;;;
;Razão Consolidado ;;;;;Período: 01/01/2020 a 31/12/2024;
;;;;;;;
;;;;;;;
Data;Histórico;Contrap.;Chave;Débito;Crédito;Saldo;
Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;;
17/08/2023;NOTA FISCAL Nº 1190 ;3152;0823-00000803;;719,52;719,52C;
20/10/2023;PAGAMENTO NOTA FISCAL Nº 1190 ;92;1023-00001036;719,52;;0,00C;
16/11/2023;NOTA FISCAL Nº 1445 ;3152;1123-00000503;;779,79;779,79C;
09/01/2024;PAGAMENTO DUPLICATA Nº 1445 ;92;0124-00001041;389,90;;389,89C;
19/01/2024;PAGAMENTO DUPLICATA Nº 1445 ;92;0124-00001042;389,89;;0,00C;
14/05/2024;NOTA FISCAL Nº 1734 ;3152;0524-00001464;;407,80;407,80C;
07/08/2024;PAGAMENTO DUPLICATA Nº 1734 ; ;0824-00001844;407,80;;0,00C;
;;;;;;;
Conta:;4998 - 2.1.1.01.001 - A.D DE SOUZA ME;;;;;;
05/04/2023;NOTA FISCAL Nº 11379 ;3152;0423-00000768;;413,00;413,00C;
18/12/2023;NOTA FISCAL Nº 18906 ;3152;1223-00000286;;790,00;1.203,00C;
04/05/2024;PAGAMENTO DUPLICATA Nº 18906 ;92;0524-00000978;790,00;;413,00C;
;;;;;;;
Conta:;5747 - 2.1.1.01.001 - ALTHAIA - MATRIZ ATIBAIA;;;;;;
20/03/2023;NOTA FISCAL Nº 147591 ;3152;0323-00000723;;861,55;861,55C;
06/07/2023;NOTA FISCAL Nº 171253 ;3152;0723-00000730;;430,82;1.292,37C;
21/07/2023;NOTA FISCAL Nº 173866 ;3152;0723-00000729;;502,62;1.794,99C;
27/11/2023;NOTA FISCAL Nº 197706 ;3152;1123-00000438;;271,18;2.066,17C;
20/01/2024;PAGAMENTO DUPLICATA Nº 197706 ;92;0124-00000620;271,18;;1.794,99C;
;;;;;;;
Conta:;6279 - 2.1.1.01.001 - AMBEV S.A;;;;;;
02/01/2023;NOTA FISCAL Nº 249152 ;3152;0123-00000748;;254,18;254,18C;
16/02/2023;NOTA FISCAL Nº 284792 ;3152;0223-00000696;;278,15;532,33C;
06/03/2023;NOTA FISCAL Nº 303737 ;3152;0323-00000724;;136,34;668,67C;
20/05/2023;NOTA FISCAL Nº 364386 ;3152;0523-00000758;;315,23;983,90C;
05/01/2024;NOTA FISCAL Nº 576949 ;3152;0124-00001066;;174,01;1.157,91C;
09/01/2024;PAGAMENTO DUPLICATA Nº 576949 ; ;0124-00001590;174,01;;983,90C;
;;;;;;;
Conta:;5757 - 2.1.1.01.001 - APOLLO MATERIAIS MEDICO HOSPITALARES LTDA ME;;;;;;
18/01/2024;NOTA FISCAL Nº 41313 ;3152;0124-00001067;;448,72;448,72C;
15/03/2024;PAGAMENTO DUPLICATA Nº 41313 ;92;0324-00000749;448,72;;0,00C;
18/09/2024;NOTA FISCAL Nº 45257 ;3152;0924-00001514;;347,64;347,64C;
16/11/2024;PAGAMENTO DUPLICATA Nº 45257 ;92;1124-00001251;351,84;; 4,20D;
;;;;;;;
Conta:;5763 - 2.1.1.01.001 - ARCOM S/A;;;;;;
25/03/2024;NOTA FISCAL Nº 360622 ;3152;0324-00001157;;661,59;661,59C;
25/03/2024;NOTA FISCAL Nº 360622 ;3152;0324-00001158;;388,82;1.050,41C;
16/04/2024;NOTA FISCAL Nº 362221 ;3152;0424-00001374;;446,51;1.496,92C;
16/04/2024;NOTA FISCAL Nº 362221 ;3152;0424-00001375;;462,30;1.959,22C;
29/04/2024;PAGAMENTO DUPLICATA Nº 360622 ;92;0424-00000897;1.050,41;;908,81C;
13/05/2024;NOTA FISCAL Nº 364440 ;3152;0524-00001465;;2.155,68;3.064,49C;
17/05/2024;PAGAMENTO DUPLICATA Nº 362221 ;92;0524-00001030;908,81;;2.155,68C;
31/05/2024;NOTA FISCAL Nº 365833 ;3152;0524-00001466;;1.633,13;3.788,81C;
12/06/2024;PAGAMENTO DUPLICATA Nº 364440 ;92;0624-00001142;718,56;;3.070,25C;
12/07/2024;PAGAMENTO DUPLICATA Nº 364440 ;92;0724-00001181;718,56;;2.351,69C;
29/07/2024;PAGAMENTO DUPLICATA Nº 365833 ;92;0724-00001182;1.633,13;;718,56C;
12/08/2024;PAGAMENTO DUPLICATA Nº 364440 ;92;0824-00001155;722,16;; 3,60D;
16/08/2024;NOTA FISCAL Nº 372383 ;3152;0824-00001433;;1.041,18;1.037,58C;
16/08/2024;NOTA FISCAL Nº 372384 ;3152;0824-00001434;;585,71;1.623,29C;
16/08/2024;NOTA FISCAL Nº 372383 ;3152;0824-00001435;;856,98;2.480,27C;
19/09/2024;PAGAMENTO DUPLICATA Nº 372384 ;92;0924-00001253;585,71;;1.894,56C;
14/10/2024;PAGAMENTO DUPLICATA Nº 372383 ;92;1024-00001207;1.936,16;; 41,60D;
;;;;;;;
Conta:;8948 - 2.1.1.01.001 - B3 SYSTEMS TECNOLOGIA E INFORMATICA LTDA ME;;;;;;
