Conta:;11392 - 2.1.1.01.001 - A 2 F INDUSTRIA FARMACEUTICA LTDA;;;;;
;Saldo Anterior;;;;;4.356,80C
03/01/2024;PAGAMENTO DUPLICATA Nº 10680 ;72;0124-00003311;1.452,28;;2.904,52C
02/02/2024;PAGAMENTO DUPLICATA Nº 10680 ;72;0224-00002993;1.452,26;;1.452,26C
03/03/2024;PAGAMENTO DUPLICATA Nº 10680 ;72;0324-00002954;1.452,26;;0,00C
28/03/2024;NOTA FISCAL Nº 11978 ;5782;0324-00000667;;2.849,00;2.849,00C
17/04/2024;NOTA FISCAL Nº 12326 ;5782;0424-00000613;;15.798,40;18.647,40C
21/04/2024;PAGAMENTO DUPLICATA Nº 11978 ;72;0424-00003285;712,25;;17.935,15C
07/05/2024;NOTA FISCAL Nº 12737 ;5782;0524-00000571;;1.320,00;19.255,15C
09/05/2024;NOTA FISCAL Nº 12638 ;5782;0524-00000572;;10.780,00;30.035,15C
09/05/2024;PAGAMENTO DUPLICATA Nº 12326 ;72;0524-00003248;3.949,60;;26.085,55C
21/05/2024;PAGAMENTO DUPLICATA Nº 11978 ;72;0524-00003350;712,25;;25.373,30C
25/05/2024;PAGAMENTO DUPLICATA Nº 12638 ;72;0524-00002952;2.695,00;;22.678,30C
26/05/2024;PAGAMENTO DUPLICATA Nº 12737 ;72;0524-00002939;330,00;;22.348,30C
08/06/2024;PAGAMENTO DUPLICATA Nº 12326 ;72;0624-00003117;3.949,60;;18.398,70C
20/06/2024;PAGAMENTO DUPLICATA Nº 11978 ;72;0624-00003264;712,25;;17.686,45C
24/06/2024;PAGAMENTO DUPLICATA Nº 12638 ;72;0624-00002752;2.695,00;;14.991,45C
25/06/2024;PAGAMENTO DUPLICATA Nº 12737 ;72;0624-00002742;330;;14.661,45C
08/07/2024;PAGAMENTO DUPLICATA Nº 12326 ;72;0724-00003163;3.949,60;;10.711,85C
20/07/2024;PAGAMENTO DUPLICATA Nº 11978 ;72;0724-00003285;712,25;;9.999,60C
24/07/2024;PAGAMENTO DUPLICATA Nº 12638 ;72;0724-00002835;2.695,00;;7.304,60C
25/07/2024;PAGAMENTO DUPLICATA Nº 12737 ;72;0724-00002824;330,00;;6.974,60C
07/08/2024;NOTA FISCAL Nº 15175 ;5782;0824-00000676;;27.115,20;34.089,80C
07/08/2024;PAGAMENTO DUPLICATA Nº 12326 ;72;0824-00004074;3.949,60;;30.140,20C
23/08/2024;PAGAMENTO DUPLICATA Nº 12638 ;72;0824-00003722;2.695,00;;27.445,20C
24/08/2024;PAGAMENTO DUPLICATA Nº 12737 ;72;0824-00003711;330,00;;27.115,20C
28/08/2024;PAGAMENTO DUPLICATA Nº 15175 ;72;0824-00004253;9.038,42;;18.076,78C
27/09/2024;PAGAMENTO DUPLICATA Nº 15175 ;72;0924-00004349;9.038,39;;9.038,39C
28/10/2024;PAGAMENTO DUPLICATA Nº 15175 ;72;1024-00003577;9.038,39;;0,00C
;;;;;;
Conta:;11446 - 2.1.1.01.001 - ABS TINTAS;;;;;
16/08/2024;NOTA FISCAL Nº 959 ;3985;0824-00000001;;448,00;448,00C
03/09/2024;PAGAMENTO NOTA FISCAL Nº 959 ;72;0924-00011319;448,00;;0,00C
04/11/2024;NOTA FISCAL Nº 1086 ;3985;1124-00000002;;891,9;891,90C
;;;;;;
Conta:;11245 - 2.1.1.01.001 - ACCUMED PRODUTOS MED.HOSPITALARES LTDA;;;;;
;Saldo Anterior;;;;;13.631,44C
05/01/2024;PAGAMENTO DUPLICATA Nº 38884 ;72;0124-00003535;4.975,72;;8.655,72C
14/01/2024;PAGAMENTO DUPLICATA Nº 44818 ;72;0124-00006187;920;;7.735,72C
25/01/2024;PAGAMENTO DUPLICATA Nº 38884 ;72;0124-00003536;4.975,72;;2.760,00C
26/01/2024;PAGAMENTO DUPLICATA Nº 44818 ;72;0124-00006300;920;;1.840,00C
